ECEF-X,ECEF-Y,ECEF-Z,Speed(m/s)
3229554.24108644,4568398.50473593,3114301.96198714,0.166666666666667
3219914.92123376,4719606.40751216,2892329.33250703,0.166666666666667
3231597.91056121,4877089.41017433,2568775.63169244,0.166666666666667
3128226.26487707,4950134.58136209,2532119.45557881,0.166666666666667
3078318.53582512,4974200.38216861,2537257.84329812,0.166666666666667
3075846.4496986,4974001.05115782,2536918.52905763,0.166666666666667
3073381.75845538,4975407.88676335,2537145.37069614,0.166666666666667
