ECEF-X,ECEF-Y,ECEF-Z,Speed(m/s)
3364473.98906207,4669909.87962731,2739037.4552015,0.005555556
3393180.85135978,4662247.17761148,2716737.8582822,0.005555556
3404982.66978249,4651288.36504831,2720726.56111384,0.005555556
3398115.30188764,4640656.8541156,2747159.57606423,0.005555556
3381639.8014056,4643099.4323339,2763207.0744738,0.005555556
3352916.59174027,4654686.16588764,2778569.18059828,0.005555556
3335264.44845654,4660350.21739868,2790216.73589345,0.005555556
3311179.73025102,4672944.97982141,2797776.2312556,0.005555556
